epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.4405,1.40073,4.4308,0.00109,0,0,0,0,1.13332,4.25266,0.00081,1.538e-05,1.538e-05,1.538e-05
2,102.622,1.59883,4.1727,0.00088,0,0,0,0,1.13332,4.25266,0.00081,3.65467e-05,3.65467e-05,3.65467e-05
3,153.741,1.38541,4.05145,0.00072,0,0,0,0,1.11152,3.85609,0.00079,5.54295e-05,5.54295e-05,5.54295e-05
4,205.844,1.52205,3.87057,0.00068,0,0,0,0,1.11152,3.85609,0.00079,7.20284e-05,7.20284e-05,7.20284e-05
5,255.126,1.26735,3.80329,0.00072,0,0,0,0,1.11152,3.85609,0.00079,8.63433e-05,8.63433e-05,8.63433e-05
6,301.893,1.13497,3.85594,0.00085,0,0,0,0,1.11152,3.85609,0.00079,9.83743e-05,9.83743e-05,9.83743e-05
7,353.668,1.24827,3.76864,0.00062,0,0,0,0,1.11152,3.85609,0.00079,0.000108121,0.000108121,0.000108121
8,403.391,1.13729,3.58733,0.00067,0.03175,0.00399,0.00204,0.00168,0.99758,3.23723,0.0007,0.000115585,0.000115585,0.000115585
9,453.121,0.95479,3.4276,0.00055,0.03175,0.00399,0.00204,0.00168,0.99758,3.23723,0.0007,0.000120764,0.000120764,0.000120764
10,501.76,1.03395,3.45846,0.00057,0.03175,0.00399,0.00204,0.00168,0.99758,3.23723,0.0007,0.000123659,0.000123659,0.000123659
11,549.692,1.09354,3.51523,0.00054,0.03175,0.00399,0.00204,0.00168,0.99758,3.23723,0.0007,0.00012427,0.00012427,0.00012427
12,598.009,0.98199,3.59199,0.00044,0.03175,0.00399,0.00204,0.00168,0.99758,3.23723,0.0007,0.000122598,0.000122598,0.000122598
13,646.306,0.92756,3.56338,0.00048,0.03175,0.00399,0.00204,0.00168,0.99758,3.23723,0.0007,0.000118641,0.000118641,0.000118641
14,695.111,0.95837,3.44375,0.00061,0.03175,0.00399,0.00204,0.00168,0.99758,3.23723,0.0007,0.000112401,0.000112401,0.000112401
15,743.216,0.96426,3.50597,0.00045,0.03175,0.00399,0.00204,0.00168,0.99758,3.23723,0.0007,0.000103877,0.000103877,0.000103877
16,790.745,1.01874,3.55839,0.00046,0.03175,0.00399,0.00204,0.00168,0.99758,3.23723,0.0007,9.30682e-05,9.30682e-05,9.30682e-05
17,839.723,1.00595,3.50257,0.00054,0.03175,0.00399,0.00204,0.00168,0.99758,3.23723,0.0007,7.9976e-05,7.9976e-05,7.9976e-05
18,887.157,1.31542,3.46192,0.0005,0.03175,0.00399,0.00204,0.00168,0.99758,3.23723,0.0007,6.45998e-05,6.45998e-05,6.45998e-05
19,935.696,1.22731,3.49909,0.0005,0.03175,0.00399,0.00204,0.00168,0.99758,3.23723,0.0007,4.69398e-05,4.69398e-05,4.69398e-05
20,984.137,1.05868,3.54642,0.00048,0.10957,0.10212,0.06777,0.05971,0.94553,3.03622,0.0006,2.69957e-05,2.69957e-05,2.69957e-05
